type,color,year,length,condition,width,weight,price
SUV,White,2018,3.36,Good,2.6493003982215395,3109.0,8716
Standard,Green,2022,2.98,Good,2.1262781863636535,3523.0,11941
SUV,White,2021,3.33,Good,2.1853804978784375,3137.0,11320
Standard,Black,2021,3.0,Good,2.268025426187475,2733.0,9593
Standard,Black,2021,2.82,Good,2.104155101183913,3017.0,9117
SUV,Purple,2021,3.54,Good,2.282758756404802,3447.0,11425
Standard,Green,2018,2.93,Good,2.4191791202851283,2720.0,7775
SUV,White,2019,3.15,Good,2.528417313860108,2498.0,9755
Standard,Green,2021,2.75,Average,2.07845529450011,2537.0,8431
SUV,Black,2023,3.34,Average,1.9810244256365974,3333.0,14150
SUV,White,2021,3.38,Good,2.219920361734746,3316.0,10371
SUV,Green,2021,3.23,New Car,2.1029743566896277,3353.0,13560
Standard,Red,2019,3.04,Poor,2.3447073443531434,2979.0,6969
Standard,Black,2022,2.82,Average,2.1258171892637336,3089.0,9890
Standard,Red,2020,2.89,Average,2.3621056958387854,3068.0,7752
Standard,Green,2021,2.79,Average,2.081228117434705,2464.0,8394
Standard,Purple,2022,2.87,Good,2.171373818716981,2139.0,9627
SUV,Red,2014,3.37,Good,2.8686816321467714,3355.0,7453
Standard,Green,2020,2.98,Good,2.3647362929239,2893.0,10238
SUV,Green,2022,3.32,Average,2.1554989776111904,2878.0,12512
SUV,Red,2020,3.17,Good,2.3105852291540345,3788.0,10048
SUV,Black,2010,3.25,Good,2.6964748735083806,3268.0,6405
SUV,White,2020,3.15,Good,2.1608354701363823,3320.0,9786
Standard,Red,2020,3.08,Average,2.3745875191614494,3285.0,9126
SUV,White,2022,3.24,Average,2.1202137592143795,2914.0,10454
Standard,Green,2022,3.03,Poor,2.0276387667171702,2929.0,9053
SUV,Red,2022,3.45,Average,2.091498799776287,3117.0,13650
Standard,Black,2022,2.85,Average,2.0749315995431754,2659.0,10608
SUV,Purple,2023,3.3,Good,1.9927642452788035,3430.0,14824
Standard,Red,2019,2.94,Good,2.4284784389437424,3406.0,8727
Standard,Red,2023,2.86,New Car,2.0447993123364525,2729.0,51684
SUV,Red,2020,3.16,Poor,2.2000392706981553,,9092
Standard,Purple,2017,2.89,Average,2.6695532858038957,2831.0,5867
Standard,Black,2015,3.01,Average,2.58449619124819,2887.0,6573
SUV,Black,2020,3.34,Average,2.297188364019043,3186.0,10081
SUV,Green,2021,3.35,Average,2.2074541042831632,3514.0,10447
Standard,White,2022,2.77,Good,2.0597473085841402,,10070
SUV,Black,2023,3.14,Good,1.9362800467529384,3396.0,13682
SUV,Black,2023,3.42,Poor,2.0614957572774464,3690.0,15249
Standard,Black,2021,2.87,Average,2.09457013265412,2788.0,9522
SUV,Purple,2022,3.28,Poor,2.0987718632163785,2694.0,8601
SUV,Purple,2019,3.36,Good,2.4290720173378806,3416.0,7951
SUV,Green,2020,3.28,Good,2.2994213665746233,3580.0,9488
SUV,Green,2020,3.31,Poor,2.414253269776767,3280.0,8411
SUV,Black,2021,3.06,Good,2.2901372026348694,3366.0,10083
Standard,White,2018,3.08,Average,2.4462291643229146,3142.0,7102
SUV,Red,2019,3.37,Average,2.4666345856177823,,8907
SUV,Red,2021,3.32,Average,2.4989754687220307,3593.0,11491
SUV,Green,2022,3.11,Good,2.130745862600005,2931.0,13766
Standard,Purple,2022,3.02,Poor,1.8131472996355384,2917.0,9264
Standard,Red,2020,3.01,New Car,2.2388524882818466,,11324
Standard,Black,2015,3.08,Average,2.848919607942511,3251.0,6563
SUV,Green,2019,3.48,Good,2.2878584699194704,3705.0,10816
Standard,Green,2012,2.96,Poor,3.117694972299817,3161.0,5275
Standard,Red,2021,2.91,Poor,2.2481650382147094,2956.0,8398
Standard,Green,2020,3.05,Poor,2.214311346836431,3053.0,6665
Standard,Purple,2021,3.08,Good,2.103570132140039,3029.0,9600
Standard,Green,2018,3.01,New Car,2.7012577260372996,2879.0,9566
Standard,Green,2023,2.97,Average,2.1398204930921016,2942.0,11739
Standard,Purple,2022,2.96,Good,2.159853604060507,2776.0,12435
Standard,White,2022,3.18,Average,1.8956857459223377,3292.0,12993
Standard,Purple,2023,3.05,New Car,2.0083355728777543,2882.0,15966
Standard,Purple,2021,2.94,Average,2.1139153100058725,2936.0,8441
SUV,Black,2009,3.42,Good,2.6688768237027825,3266.0,7126
Standard,Black,2023,2.98,Average,2.1132580729193067,,14932
Standard,Red,2005,2.95,Poor,2.7190432434345833,2912.0,4337
Standard,White,2020,2.84,Good,2.2750386534821394,2557.0,8410
Standard,Green,2019,3.0,Poor,2.376482194505287,2906.0,7177
SUV,Red,2018,3.33,Poor,2.4506098544017094,3175.0,7675
SUV,Green,2022,3.41,Average,2.0411360878788214,,12029
Standard,Purple,2019,2.77,Good,2.464907488675441,2635.0,7517
SUV,White,2020,3.32,Good,2.328885488041911,3111.0,10730
SUV,White,2017,3.26,Good,2.5020398964159885,3168.0,7876
SUV,Green,2022,3.48,Poor,2.1614039106081004,3538.0,11375
Standard,Green,2022,3.04,Good,2.182735168188879,,14627
SUV,White,2016,3.25,Poor,2.752588753193243,3346.0,6242
SUV,Purple,2017,3.09,Poor,2.6865716637534756,3184.0,5158
Standard,Green,2022,2.95,New Car,2.244609798226552,2980.0,14490
SUV,Black,2021,3.14,Poor,2.175690892680871,3149.0,9302
Standard,Green,2021,2.99,Average,2.2670037372299787,,8759
SUV,Red,2023,3.03,Good,2.021297595996155,2768.0,14680
Standard,Purple,2023,2.87,Average,2.0407607080263443,2969.0,10786
SUV,Red,2017,3.27,New Car,2.639366751669053,3348.0,9730
Standard,Purple,2011,3.05,Poor,2.868742748748412,3154.0,4537
Standard,Purple,2019,2.97,Poor,2.4696535365229697,2608.0,5943
Standard,Black,2018,2.95,Good,2.420074249779886,2888.0,8581
SUV,Green,2019,3.43,Poor,2.305968373543791,3576.0,7135
Standard,Green,2023,3.09,Good,2.056346720575388,,14436
SUV,Purple,2023,3.38,Poor,1.9227658388416697,,14582
SUV,Green,2022,3.28,Good,1.9666826505984951,3443.0,13327
Standard,Purple,2018,3.05,New Car,2.5537750675803137,3087.0,9508
Standard,White,2022,2.98,Average,2.0195574969908954,2983.0,12438
SUV,Green,2021,2.94,Average,2.2283362851662525,3002.0,10070
SUV,Green,2023,3.37,Good,1.9418902761914294,,27275
SUV,Green,2021,3.33,New Car,2.1754701398855043,3104.0,14627
Standard,Purple,2022,3.1,Average,2.097290343222491,2953.0,8756
SUV,Red,2021,3.26,Good,2.023698912573995,3649.0,12943
Standard,Black,2013,2.9,Average,3.118555212660629,2902.0,5924
SUV,Black,2019,3.41,Average,2.3369442948248307,,8911
SUV,Green,2019,3.43,Average,2.374999186605984,3183.0,8796
Standard,Black,2022,3.01,Average,2.1352412951429485,3117.0,11241
SUV,Red,2018,3.03,Average,2.600802293298977,,6963
SUV,Green,2022,3.17,Good,2.158040400218108,2599.0,14281
Standard,Red,2005,3.08,Average,2.694619852937726,3032.0,5046
SUV,Purple,2022,3.25,Poor,1.936312974530928,2959.0,8591
Standard,Red,2018,3.07,Poor,2.281691848241298,3227.0,7235
SUV,White,2014,3.35,New Car,3.084192761353722,3188.0,9689
Standard,White,2021,3.04,Poor,2.083376013823951,2724.0,8813
SUV,White,2022,3.46,Good,2.029809308637038,3855.0,13869
SUV,White,2019,3.32,New Car,2.3563785012737255,3176.0,13053
Standard,Purple,2018,3.01,Good,2.3854664886721197,3345.0,7692
Standard,White,2019,2.96,Average,2.39733207345203,2783.0,7910
SUV,Green,2002,3.45,Average,2.656907652559978,3747.0,5609
SUV,Red,2020,3.24,Poor,2.4142766140536476,3498.0,6967
Standard,Red,2023,3.08,Poor,1.9367486554155902,3142.0,13593
Standard,White,2018,3.0,New Car,2.4714378238602244,2962.0,8749
Standard,Black,2019,2.82,Average,2.540765619108419,,7304
Standard,Green,2008,2.9,Average,2.7575285306922375,2840.0,4866
SUV,Green,2018,3.28,Poor,2.553479717469035,,7484
Standard,White,2018,3.04,Average,2.479475179945731,3246.0,7261
SUV,White,2022,3.12,Good,2.06888390471477,2985.0,15115
SUV,Red,2020,3.33,Average,2.403224921483831,3478.0,9352
Standard,Green,2021,2.93,Good,2.272748546771062,3386.0,10379
SUV,White,2018,3.45,New Car,2.357793978654505,,10890
SUV,Red,2023,3.33,Good,2.009112499740795,3495.0,18549
SUV,Red,2023,3.26,Average,2.0558001333671756,3274.0,17111
Standard,Green,2019,2.89,Average,2.4812884554517396,3005.0,7366
Standard,White,2021,3.02,New Car,2.067478666216375,2919.0,13916
SUV,Purple,2021,3.49,Good,2.1123592197535395,3637.0,10428
Standard,Black,2021,2.9,Poor,2.198803775216793,2865.0,7690
SUV,Green,2022,3.16,Good,2.016811457260056,3690.0,13655
SUV,Purple,2022,3.31,Good,2.100683682544088,3344.0,10006
Standard,Purple,2017,3.03,Poor,2.559374507564356,3221.0,5164
Standard,Red,2022,3.01,Average,2.1284934443751657,2867.0,10460
SUV,Green,2023,3.27,Average,1.9898524827789101,3256.0,16286
Standard,Red,2023,2.83,Poor,2.1508755660132404,2721.0,9383
Standard,Red,2016,3.07,New Car,2.82316419617531,3057.0,8491
Standard,Purple,2023,3.03,Average,1.7435881173891405,2953.0,17102
SUV,Green,2019,3.2,Good,2.4179301302592324,2796.0,9307
Standard,Purple,1994,3.0,Good,2.1433651311071866,2783.0,4351
SUV,White,1992,3.47,Average,2.0547536300486606,3490.0,5104
SUV,Red,2018,3.44,Good,2.6187757453967104,3529.0,9636
Standard,Purple,2006,2.98,Poor,2.6229703829048407,2843.0,3912
Standard,Green,2020,3.17,Poor,2.3299236652357336,3062.0,8387
SUV,Purple,2023,3.22,Good,2.0227061446502157,,14414
Standard,Red,2016,2.86,Good,2.8381625718830517,2554.0,7116
Standard,Purple,2014,2.78,Good,2.8309618216638093,2378.0,5951
Standard,Purple,2020,3.06,Average,2.3671492215590404,3587.0,7455
Standard,Red,2023,3.2,Poor,1.97728516237192,3193.0,12494
SUV,Green,2023,3.15,Poor,1.7548116005835812,,15460
Standard,Green,2022,2.92,Average,2.109419846545797,3148.0,9903
SUV,Purple,2020,3.36,Good,2.399668953176748,2837.0,9118
Standard,Black,2016,3.1,Good,2.873238729677812,3473.0,7423
SUV,Black,2017,3.23,Good,2.5606237573576327,3473.0,8546
SUV,Green,2022,3.38,Good,2.1484678186477253,,14836
SUV,White,2022,3.25,New Car,1.9643845501123742,,15832
Standard,Red,2022,2.93,Poor,2.230470813623852,3215.0,9725
SUV,Red,2020,3.37,New Car,2.34717030866758,3656.0,13201
SUV,Red,2022,3.12,Good,2.0523366461849664,3013.0,10643
Standard,Red,2023,3.1,Good,1.9392121645315414,2900.0,15847
Standard,Purple,2018,2.97,Good,2.5676634243158074,,6728
Standard,Red,2018,2.91,Good,2.358773146230819,,8560
Standard,Purple,2020,2.93,New Car,2.411458865700969,2826.0,9618
SUV,Purple,2023,3.3,Average,1.88557346849004,3506.0,14054
Standard,Green,2019,2.99,Average,2.291259782660721,3348.0,8132
SUV,Red,2017,3.32,Good,2.622265133365417,3726.0,8057
Standard,Black,2023,3.12,Average,2.119219497942824,3164.0,13380
SUV,Red,2014,3.33,Good,2.868905849030105,3466.0,7431
Standard,Green,2021,3.09,Good,2.377376830337538,2832.0,11930
Standard,Black,2020,3.02,Good,2.3419047582221992,2781.0,9137
Standard,White,2020,3.14,New Car,2.50816491959877,3102.0,11309
SUV,Red,2022,3.11,Average,2.1881722399177153,2694.0,11287
SUV,Green,2020,3.25,Poor,2.1852573552041448,,7944
SUV,Purple,2020,3.37,Good,2.395374830157051,3369.0,9231
Standard,White,2019,2.9,Good,2.4637244955664634,3184.0,8429
Standard,Purple,2023,3.01,Average,2.1298186345450487,2625.0,11810
Standard,Purple,2023,3.07,Poor,2.011476209080294,3230.0,12525
SUV,White,2000,3.15,Good,2.4571295520457275,3367.0,5351
SUV,Green,2022,3.15,Good,2.0181466997368975,,12391
SUV,Purple,2020,3.31,Average,2.429806909808444,3860.0,8129
Standard,Red,2020,2.96,New Car,2.556407409841784,3045.0,10370
Standard,Red,2016,2.99,Good,2.813870748006572,2962.0,7880
Standard,White,2022,2.97,Good,2.325612915021449,2820.0,13669
Standard,Purple,2022,3.01,Good,2.137856495131363,3390.0,9427
Standard,Green,2020,3.14,Good,2.4730666263377037,3499.0,10524
SUV,Red,2015,3.3,Good,2.849991453147741,3770.0,8254
SUV,White,2020,3.37,Good,2.4229001523159877,3435.0,10473
SUV,Black,2023,3.31,New Car,1.881637635002985,3131.0,18212
SUV,Purple,2016,3.32,Good,2.740979435503122,3684.0,7085
SUV,White,2023,3.15,New Car,2.102619443607903,2655.0,21403
Standard,Black,2022,2.9,Good,2.1138634621125627,2754.0,10146
SUV,Black,2018,3.15,Average,2.379880773348378,2963.0,7677
Standard,Green,2015,2.9,Poor,2.705970027029909,2786.0,5277
Standard,Green,2021,3.03,Average,2.352633097743426,2685.0,10096
Standard,White,2022,3.03,Good,2.074966920556623,3103.0,12863
SUV,White,2017,3.3,Average,2.7105113529580165,3650.0,8191
SUV,White,2021,3.34,Average,2.3735753304639142,3381.0,10787
SUV,Red,2021,3.2,Poor,2.2854474284483075,2906.0,8016
SUV,White,2021,3.26,Good,2.0771432883129837,3421.0,12575
SUV,White,2020,3.13,Good,2.197174586638809,,8579
SUV,White,2023,3.38,Good,2.320923912199791,3299.0,16858
SUV,Purple,2013,3.16,Average,2.9789179504576326,2851.0,5410
Standard,Red,2019,2.92,Good,2.451870173106587,2706.0,8336
Standard,Red,2014,2.88,Good,2.7352479091373016,,7263
Standard,Red,2023,2.83,Good,1.861303107339325,2873.0,15838
SUV,Black,2023,3.14,Good,2.1302402840541346,2798.0,18596
Standard,Purple,2020,2.99,Good,2.2008071499317885,3274.0,8458
Standard,Red,2019,2.97,Good,2.5154370436625006,,8830
Standard,White,2023,3.13,Average,1.9492129215627136,2913.0,13577
Standard,Red,2018,2.88,Good,2.4546157153486905,2989.0,7996
Standard,White,2014,2.96,Good,2.9613232595876693,3240.0,6134
Standard,Red,1988,2.82,New Car,1.852177979192446,3057.0,4966
Standard,Red,2016,3.18,Average,2.7230774864879983,3447.0,6800
SUV,Black,1999,3.33,Good,2.3674496077382416,3623.0,5677
Standard,Purple,2023,3.09,Good,1.9200216441310474,,11769
Standard,Red,2007,3.09,Average,2.5864299501644186,2930.0,5149
SUV,Green,1997,3.35,Average,2.2344656123730244,3795.0,5140
Standard,Black,2021,2.98,Poor,2.2241106401601782,,8836
Standard,White,2021,2.99,Average,2.326168608925253,2900.0,10061
SUV,Green,2020,3.32,New Car,2.3985231950144152,3509.0,11610
SUV,White,2020,3.23,Good,2.2860614260726386,3433.0,10077
SUV,White,2023,3.43,Good,1.982439324885312,3485.0,19918
Standard,Green,2011,3.07,Good,2.8633070560681637,3029.0,6533
Standard,Purple,2023,2.97,Poor,1.94542978199673,3100.0,11385
Standard,White,2021,2.86,Good,2.207730707479258,,9787
SUV,Purple,2019,3.13,New Car,2.4430683840980945,,9130
Standard,White,2022,2.88,Poor,2.1708864291932835,,9026
Standard,Green,2023,2.99,Average,2.10151341445177,2604.0,19457
Standard,Purple,2020,2.94,Good,2.331716885814269,2697.0,7847
Standard,Black,2007,3.11,New Car,2.4490958394391678,3159.0,6891
SUV,White,2013,3.34,Average,3.110225339428598,3594.0,6410
Standard,Purple,2022,3.14,Poor,2.1017067670164242,3329.0,8496
SUV,Green,2019,3.34,Good,2.5398191508673156,3969.0,9248
Standard,White,2022,2.93,Average,2.16418357742574,2939.0,11354
Standard,White,2022,3.03,Poor,2.211268181000682,,8986
Standard,Green,2023,3.07,Poor,2.056379992060815,3392.0,16393
Standard,White,2023,2.85,New Car,1.9906085474351372,2808.0,13628
Standard,White,2021,3.08,Good,2.170757163191329,2999.0,10370
Standard,Green,2019,3.12,Poor,2.448957741200026,3440.0,7275
SUV,White,2022,3.39,Good,2.174903680650774,3709.0,12280
SUV,Purple,2022,3.61,Good,2.243143029984091,3443.0,13069
SUV,Purple,2018,3.27,Average,2.368582953290521,3202.0,6874
SUV,Red,2021,3.15,Good,2.1517999848894234,3042.0,10802
SUV,White,2023,3.27,Good,1.9697729880815211,3654.0,21950
Standard,Red,2023,2.96,Good,2.054599448604677,2601.0,14680
Standard,Black,2010,3.02,Poor,2.865616902715496,2863.0,5042
Standard,White,2023,2.85,Good,1.820672865163977,2969.0,16248
Standard,Black,2021,2.87,Poor,1.963406365894871,2972.0,9176
Standard,White,2023,2.99,Poor,1.9802761092714907,,14489
Standard,Red,2022,2.97,Poor,2.123324153790195,3208.0,11946
SUV,Red,2023,3.31,Good,2.0191128550959405,3294.0,20420
SUV,Green,2022,3.37,Good,2.1710134515294546,2734.0,12443
Standard,White,2021,3.06,Good,2.1061592010600743,,11705
SUV,Red,2016,3.34,Poor,2.683251753972721,3660.0,6331
SUV,Black,2023,3.23,Average,2.0923419293197827,3125.0,15471
SUV,Purple,2020,3.23,Good,2.1678849691636284,3251.0,9460
Standard,White,2019,2.9,Average,2.320691393387868,2881.0,7334
SUV,Green,2020,3.2,Poor,2.431805286934133,2915.0,8070
SUV,Purple,2016,3.2,Poor,2.737267160817659,3448.0,5248
SUV,Black,2021,3.24,Average,2.2251941436199396,3631.0,9223
SUV,Red,2023,3.06,Good,2.104197080088345,2763.0,13901
SUV,Black,2023,3.32,Good,2.0095208514364993,3331.0,20275
SUV,Purple,2019,3.32,Average,2.5006002538289063,3656.0,7560
Standard,Black,2022,2.92,Good,2.1145609313887697,,10369
SUV,Purple,2018,3.25,Good,2.4188304837060137,2987.0,7435
Standard,Green,1992,3.15,Average,1.9029219858985862,2816.0,4603
SUV,Black,2022,3.22,Poor,2.1733781398988756,3225.0,9379
SUV,White,2021,3.31,Poor,2.157082819787287,3170.0,9588
Standard,Green,2022,2.97,Poor,2.1261075143097257,2685.0,8361
Standard,Red,2022,2.99,Average,2.183523095266525,2976.0,9495
SUV,Purple,2022,3.3,Good,2.015210355953589,3755.0,11581
SUV,Purple,2022,3.17,Average,2.10656676971624,3178.0,8905
SUV,White,2011,3.47,Good,2.975246172578458,2955.0,8130
SUV,White,2023,3.49,Good,2.0542917701964205,3650.0,19036
SUV,White,2011,3.35,Poor,3.03065158152837,3614.0,5439
SUV,Purple,2013,3.47,New Car,2.9921950662726573,3406.0,7338
SUV,White,2022,3.16,Poor,2.256703671415139,3001.0,11110
Standard,Black,2022,3.09,Average,2.10986284847714,2777.0,10757
SUV,Red,2010,3.19,New Car,2.685837328130013,,7652
Standard,White,2023,3.01,Good,2.0926958459505154,2881.0,15788
SUV,Green,2022,3.26,Good,2.050726446606354,3255.0,15695
Standard,Green,2022,3.2,Good,1.973940161766811,3098.0,14137
SUV,Green,2022,3.35,Good,2.1230642169755347,3596.0,14385
SUV,Purple,2022,3.39,Good,2.1076168780041393,3105.0,12904
Standard,Black,2023,2.85,Good,1.9579480575678738,3101.0,19664
Standard,White,2006,2.9,Good,2.624144498655277,3157.0,5635
Standard,Red,2019,3.13,Average,2.462167980066913,2764.0,7836
Standard,Black,2015,3.01,New Car,2.695318163689282,2665.0,8559
Standard,White,2022,2.85,New Car,1.991920773509124,3153.0,14578
Standard,Black,2008,3.21,Good,2.7846795438211074,3107.0,6836
Standard,Black,2013,3.01,Good,3.1134043811754037,2971.0,6569
Standard,Black,2022,2.84,Poor,2.0851112970486487,3000.0,9246
Standard,Purple,2022,2.99,Average,1.8966268360604475,2943.0,8311
Standard,Green,2017,3.13,New Car,2.619224417578819,2709.0,9389
Standard,Purple,2018,3.09,Poor,2.506482383219654,2906.0,4938
SUV,Red,2022,3.2,New Car,2.1893351301891566,,13502
SUV,White,2022,3.35,Good,1.9477171963887334,3673.0,13057
Standard,Red,2020,2.98,Poor,2.2256298382882056,2722.0,8158
Standard,White,2020,2.89,Average,2.294712181078784,3044.0,7905
Standard,Green,2015,2.94,Average,2.9419814468549266,2823.0,6513
SUV,Green,2022,3.08,Poor,2.1630220569995866,2708.0,11107
SUV,White,2023,3.28,Average,1.908664029759043,3660.0,13984
SUV,Purple,2018,3.33,Good,2.50360020546203,3491.0,8329
Standard,Purple,2017,2.88,Average,2.623767158586175,3211.0,5889
Standard,Red,2015,2.93,Good,2.698151207294666,3074.0,7500
Standard,Black,2022,3.11,Poor,2.113499219869311,3198.0,10398
Standard,Purple,2017,2.9,Good,2.7328147480389746,2746.0,6472
SUV,Purple,2020,3.21,Poor,2.3320858105100295,3649.0,7425
Standard,White,2020,3.01,Poor,2.297780057772576,2923.0,8765
Standard,Green,2021,2.99,Average,2.2956873527033346,2881.0,8943
SUV,Green,2019,3.15,Poor,2.2899840803402096,3699.0,7751
SUV,Black,2022,3.37,Average,2.064361406600479,3164.0,12161
SUV,White,2018,3.43,Average,2.4460937715238487,3412.0,8150
SUV,Green,2022,3.21,Good,2.1580738081958093,,12711
Standard,White,2022,2.95,Poor,2.022328401871451,3113.0,9822
Standard,Black,2021,2.96,Average,2.250757266581027,2787.0,9392
Standard,Red,2018,3.06,Good,2.4311734067866855,3276.0,8101
Standard,Red,2021,3.15,Good,2.2590291550452193,3588.0,11793
Standard,Red,2023,2.94,Poor,1.98430372618278,3322.0,15338
Standard,Red,2023,2.87,New Car,1.9330234908564101,2662.0,22342
SUV,Red,2022,3.2,Average,1.9546574859706736,3018.0,12749
SUV,Black,2022,3.28,Poor,2.0325062060447214,3359.0,8619
Standard,Black,1944,2.94,Average,-0.4162566268010206,2552.0,3243
Standard,Red,2019,3.08,Good,2.330462360091257,3333.0,9604
Standard,Black,2021,3.19,Poor,2.2313392034007355,,9469
Standard,Black,2023,2.93,Poor,2.122717719310211,,13080
SUV,Red,2019,3.27,Average,2.5604919337122127,3199.0,8822
SUV,White,2015,3.24,Poor,2.891653012675347,3537.0,6269
SUV,White,2021,3.53,Poor,2.0727081322110767,3691.0,9418
Standard,Green,2023,2.97,Average,1.960092895757484,3298.0,15271
Standard,Red,2017,2.97,Good,2.528448055161378,2950.0,7664
Standard,Red,2012,2.99,Average,3.024564552188658,2783.0,5646
Standard,Black,2019,3.09,Good,2.670446947285869,3067.0,9137
SUV,Red,2022,3.36,Average,1.9725975924519303,3441.0,12947
Standard,Black,2022,3.07,Good,2.0948520615982966,2810.0,13553
Standard,Red,2018,3.09,Good,2.5013526270740116,2941.0,8783
Standard,Red,2022,3.0,Average,2.0846458367247958,2877.0,11300
Standard,Black,2022,3.14,Average,2.0747731964849456,3181.0,13087
Standard,Green,2023,3.03,Good,2.1136239705006683,2920.0,24361
SUV,Purple,2018,3.3,Good,2.5385565020347136,2854.0,7709
SUV,Purple,2018,3.39,Poor,2.4038212243256014,3757.0,6852
SUV,Black,2023,3.13,Average,2.0208014771402945,3622.0,14706
SUV,Black,2023,3.22,Poor,2.131373654521294,3004.0,11379
Standard,Red,2020,2.89,Good,2.1464959295178643,2733.0,9348
SUV,White,2018,3.32,New Car,2.501620430277602,3040.0,10584
SUV,Black,2022,3.3,Average,2.0697370127133565,3013.0,10764
SUV,White,2022,3.25,Good,1.9231834741401135,3390.0,11617
SUV,Green,2011,3.11,Good,2.988926918127529,2878.0,6878
Standard,White,2022,2.9,Poor,2.120317406901191,2706.0,10961
SUV,Purple,2019,3.43,Good,2.4592864730600708,3189.0,9509
SUV,Black,2016,3.37,Average,2.744976286845074,,7146
Standard,Red,2016,3.05,Good,2.503640144154941,3243.0,7047
SUV,Purple,2022,3.32,Poor,2.223927362426521,3332.0,9486
Standard,White,2022,2.99,Good,2.173998718256844,2860.0,11813
Standard,White,2023,3.13,Good,2.117252459644256,3117.0,15432
SUV,Green,2018,3.37,Poor,2.624927663487633,3383.0,7799
Standard,White,2022,2.78,Good,2.089346499817326,2835.0,9663
SUV,Purple,2011,3.26,Good,2.8270551098415067,3041.0,5968
SUV,Purple,2021,3.3,Good,2.261741587809908,3422.0,10860
Standard,White,2022,2.95,Poor,2.02688250634083,2995.0,12995
Standard,Black,2020,2.95,Good,2.242489949610846,2916.0,10963
Standard,Green,2021,2.98,Good,2.046428186390817,3072.0,10399
Standard,Green,2023,2.84,Poor,1.8152930171859503,3066.0,11075
SUV,Black,2022,3.34,Poor,2.1428373832460075,3698.0,11951
SUV,White,2021,3.44,Good,2.2969463209435865,3254.0,12271
Standard,White,2012,3.07,Poor,2.987701231315002,2805.0,5280
Standard,White,2021,3.0,Good,2.1544003449303992,3132.0,12326
Standard,Purple,2020,2.86,Average,2.31139507958288,2632.0,7949
SUV,Black,2021,3.27,Good,2.174400036139721,3273.0,12254
Standard,Green,2021,3.03,Good,2.299397439128578,3103.0,13079
SUV,Purple,2020,3.3,Good,2.5418779134446807,3607.0,8780
Standard,Green,2021,2.9,Average,2.1899926020619835,3023.0,8783
SUV,Black,2021,3.27,Good,2.2180291117043716,3227.0,10712
Standard,Green,2021,3.07,Good,2.329183611792883,2553.0,12510
SUV,Purple,2023,3.38,Average,1.9126267592931354,3065.0,13347
Standard,Green,2020,2.85,Good,2.338374858553327,3075.0,8388
Standard,Purple,2023,2.9,Poor,1.9310743649854996,3172.0,10739
SUV,Purple,2021,3.34,Good,2.3889681281763955,3321.0,11412
Standard,Purple,2017,3.16,Average,2.5433591372292494,,6017
Standard,Purple,2020,3.0,Good,2.245953025304472,2638.0,7936
SUV,Green,2022,3.36,Poor,2.104816180580847,3182.0,9346
SUV,White,2014,3.17,New Car,2.9319089909567113,3221.0,8462
SUV,Black,2019,3.33,Good,2.427835785968713,3501.0,9640
Standard,Purple,2019,3.06,Good,2.2791061137326154,3209.0,7616
SUV,Purple,2021,3.19,Average,2.0227234897562356,2824.0,8554
SUV,Black,2020,3.15,Good,2.374617582717937,3022.0,10614
Standard,Green,2020,2.9,Poor,2.145635410831423,2721.0,7342
SUV,Black,2019,3.42,Poor,2.5642661878877613,3241.0,8435
SUV,White,2023,3.31,Poor,1.9816310997483264,3702.0,15316
Standard,Green,2018,312.0,Good,2.5618554147245107,3101.0,9250
SUV,White,2019,3.14,Average,2.5319151840887972,3019.0,7756
Standard,Red,2023,2.79,Poor,1.9990352876095066,2846.0,12483
SUV,Black,2018,3.32,Average,2.629201083280196,3396.0,8051
Standard,Purple,2014,3.08,Average,2.9066997464294246,3157.0,5237
Standard,Red,2022,2.89,Poor,2.055176175848793,3090.0,9640
SUV,Purple,2022,3.39,Average,2.036701441130564,3624.0,10585
SUV,Black,2022,3.59,Good,2.1984921335641325,3531.0,14465
SUV,Black,2007,3.27,New Car,2.858400899162352,3484.0,8314
Standard,White,2019,2.98,Good,2.3635754789858776,2546.0,8556
Standard,Purple,2020,2.89,Good,2.4739519482731023,,8454
Standard,White,1992,2.85,Good,1.8760518890355091,2641.0,4952
Standard,Black,2016,2.92,New Car,2.7812487496118816,3137.0,8321
Standard,Green,2021,2.91,Good,2.400022667092423,,11583
Standard,White,2023,3.01,Good,2.140595546260727,2893.0,26673
SUV,White,2011,3.23,Average,2.9207136073221376,3349.0,6333
Standard,Purple,2020,2.91,Poor,2.506080058746167,3187.0,6518
SUV,Black,2023,3.28,Poor,2.198616615026753,,16435
SUV,Black,2019,3.35,Good,2.445164404348414,3092.0,9675
SUV,Red,2021,3.44,Average,2.1531624806619276,3573.0,10767
Standard,Green,2020,3.01,Average,2.3099835210062314,3586.0,8359
Standard,White,2017,3.15,New Car,2.6618320983176074,3200.0,10250
SUV,Green,2014,3.58,Poor,3.0618111555253362,3177.0,5968
Standard,Red,2019,3.12,Poor,2.396661686705919,2796.0,7474
Standard,Green,2017,3.03,Good,2.607087475476058,,7753
Standard,Red,2022,2.99,Good,2.1190836230131085,2669.0,12704
SUV,White,2020,3.35,Good,2.344582642499133,2837.0,10346
Standard,Purple,2022,3.22,Poor,2.175112833196418,3009.0,8461
Standard,Green,2023,3.17,Poor,1.9852988751100038,3485.0,13891
